Frequency 1	Frequency 2	Partial 1	Partial 2	Combination Tone
	 233.08188075904496 	 233.08188075904496 	 1 	 1 	 233.08188075904496
	 130.8127826502993 	 130.8127826502993 	 1 	 1 	 130.8127826502993
	 233.08188075904496 	 233.08188075904496 	 1 	 1 	 233.08188075904496
	 130.8127826502993 	 130.8127826502993 	 1 	 1 	 130.8127826502993
	 220.0 	 220.0 	 1 	 1 	 220.0
	 138.59131548843604 	 138.59131548843604 	 1 	 1 	 138.59131548843604
	 207.65234878997256 	 207.65234878997256 	 1 	 1 	 207.65234878997256
	 146.8323839587038 	 146.8323839587038 	 1 	 1 	 146.8323839587038
	 195.99771799087463 	 195.99771799087463 	 1 	 1 	 195.99771799087463
	 146.8323839587038 	 146.8323839587038 	 1 	 1 	 146.8323839587038
	 130.8127826502993 	 130.8127826502993 	 1 	 1 	 130.8127826502993
	 155.56349186104046 	 155.56349186104046 	 1 	 1 	 155.56349186104046
	 246.94165062806206 	 246.94165062806206 	 1 	 1 	 246.94165062806206
	 164.81377845643496 	 164.81377845643496 	 1 	 1 	 164.81377845643496
	 233.08188075904496 	 233.08188075904496 	 1 	 1 	 233.08188075904496
	 174.61411571650194 	 174.61411571650194 	 1 	 1 	 174.61411571650194
	 220.0 	 220.0 	 1 	 1 	 220.0
	 174.61411571650194 	 174.61411571650194 	 1 	 1 	 174.61411571650194
	 155.56349186104046 	 155.56349186104046 	 1 	 1 	 155.56349186104046
	 184.9972113558172 	 184.9972113558172 	 1 	 1 	 184.9972113558172
	 146.8323839587038 	 146.8323839587038 	 1 	 1 	 146.8323839587038
	 195.99771799087463 	 195.99771799087463 	 1 	 1 	 195.99771799087463
	 138.59131548843604 	 138.59131548843604 	 1 	 1 	 138.59131548843604
	 207.65234878997256 	 207.65234878997256 	 1 	 1 	 207.65234878997256
	 138.59131548843604 	 138.59131548843604 	 1 	 1 	 138.59131548843604
	 155.56349186104046 	 155.56349186104046 	 1 	 1 	 155.56349186104046
	 130.8127826502993 	 130.8127826502993 	 1 	 1 	 130.8127826502993
	 164.81377845643496 	 164.81377845643496 	 1 	 1 	 164.81377845643496
	 246.94165062806206 	 246.94165062806206 	 1 	 1 	 246.94165062806206
	 174.61411571650194 	 174.61411571650194 	 1 	 1 	 174.61411571650194
	 233.08188075904496 	 233.08188075904496 	 1 	 1 	 233.08188075904496
	 184.9972113558172 	 184.9972113558172 	 1 	 1 	 184.9972113558172
	 233.08188075904496 	 233.08188075904496 	 1 	 1 	 233.08188075904496
	 130.8127826502993 	 130.8127826502993 	 1 	 1 	 130.8127826502993
	 233.08188075904496 	 233.08188075904496 	 1 	 1 	 233.08188075904496
	 130.8127826502993 	 130.8127826502993 	 1 	 1 	 130.8127826502993
	 220.0 	 220.0 	 1 	 1 	 220.0
	 138.59131548843604 	 138.59131548843604 	 1 	 1 	 138.59131548843604
	 207.65234878997256 	 207.65234878997256 	 1 	 1 	 207.65234878997256
	 146.8323839587038 	 146.8323839587038 	 1 	 1 	 146.8323839587038
	 195.99771799087463 	 195.99771799087463 	 1 	 1 	 195.99771799087463
